"","model","wt","upp","low","week","alpha","step","rep"
"329","arima",0.97450030944,0.994990025,0.935954,6,1,1,2
"330","asg",0.00543723994325352,0.0201627175,0.000135465875,6,1,1,2
"331","naive",0.011081884305519,0.0410007575,0.000257013325,6,1,1,2
"332","sir",0.0089805653059956,0.0332500275,0.00021650705,6,1,1,2
"333","arima",0.34166595374,0.417103375,0.268972825,6,50,1,2
"334","asg",0.165977689476,0.212026325,0.1248,6,50,1,2
"335","naive",0.25125012038,0.3161884,0.1920768,6,50,1,2
"336","sir",0.24110623988,0.305650975,0.183514575,6,50,1,2
"337","arima",0.9806602181,0.996198,0.950977925,7,1,1,2
"338","asg",0.00443074073683046,0.016537375,0.000112523425,7,1,1,2
"339","naive",0.00932881249568552,0.0345694,0.000226601925,7,1,1,2
"340","sir",0.00558022821371576,0.020723815,0.000137569275,7,1,1,2
"341","arima",0.37320024868,0.451931175,0.296577875,7,50,1,2
"342","asg",0.158139973026,0.2029621,0.1184109,7,50,1,2
"343","naive",0.25763410442,0.3240931,0.1965957,7,50,1,2
"344","sir",0.21102567404,0.2706093,0.1579894,7,50,1,2
"345","arima",0.98310978074,0.996682,0.9564328,8,1,1,2
"346","asg",0.00385736710745929,0.014246115,9.67888225e-05,8,1,1,2
"347","naive",0.00888757371353676,0.032843835,0.000234928875,8,1,1,2
"348","sir",0.00414528122598561,0.0153704025,9.7316605e-05,8,1,1,2
"349","arima",0.38991179152,0.469602425,0.311358625,8,50,1,2
"350","asg",0.151766048914,0.195455225,0.113076975,8,50,1,2
"351","naive",0.27001298634,0.338355075,0.206204875,8,50,1,2
"352","sir",0.188309178634,0.24414025,0.13985075,8,50,1,2
"353","arima",0.98558352494,0.997273025,0.96213895,9,1,1,2
"354","asg",0.0033476385096975,0.0124914175,8.3126365e-05,9,1,1,2
"355","naive",0.00779868361494608,0.028814085,0.000212954975,9,1,1,2
"356","sir",0.00327015469692308,0.012057825,8.59753875e-05,9,1,1,2
"357","arima",0.4266617379,0.508528475,0.34433685,9,50,1,2
"358","asg",0.142495945792,0.183359375,0.106229975,9,50,1,2
"359","naive",0.26888311842,0.338971025,0.204370075,9,50,1,2
"360","sir",0.161959193518,0.211409025,0.119050875,9,50,1,2
"361","arima",0.98678691806,0.99751605,0.964711925,10,1,1,2
"362","asg",0.00297964486535976,0.010872225,7.525321e-05,10,1,1,2
"363","naive",0.00763185610330464,0.02808144,0.000201643225,10,1,1,2
"364","sir",0.00260158028658817,0.00959406625,6.5762075e-05,10,1,1,2
"365","arima",0.45771128368,0.539001,0.375034675,10,50,1,2
"366","asg",0.134158401168,0.17323815,0.0998860275,10,50,1,2
"367","naive",0.27104231244,0.342598025,0.2050147,10,50,1,2
"368","sir",0.137087998842,0.1795163,0.100607925,10,50,1,2
